Rank,Partner Id,Partner Name,TOP SE PL State,node_name,state_name,NRV FY-25-26,GM FY-25-26,GM Score,GM Share,PL NRV 25-26,GM%,ABC Mapping,GM% Score,PL%,Total Returns in %,Return Score,Avg Repayment days,Paid within due days,Financing scheme (Y/N),Credit Score,TOTAL SCORE,Cohort
Long Tail,1000029233,Chaurasiya Beej Bhandar,(blank),Faizabad,Uttar Pradesh,"73,079",8748,,97.90%,42338,12%,C,,58%,0%,,10,80%,0,,0,Long Tail
Long Tail,1000009625,M/s.Shivganga Krushi Udyog Samuh,rahul.mali1@agrevolution.in,Solapur,Maharashtra,104275,8742,,97.90%,18469,8%,D,,18%,0%,,20,98%,0,,0,Long Tail
Long Tail,1000022683,VINAYAK ENTERPRISES,omprakash.pathak@agrevolution.in,Buxar,Bihar,310060,8734,,97.90%,4400,3%,D,,1%,-21%,,49,70%,Yes,,0,Long Tail
Long Tail,1000040936,Shriram Krushi Seva kendra,(blank),Pune,Maharashtra,"56,431",8730,,97.90%,46304,15%,C,,82%,-10%,,219,1%,0,,0,Long Tail
Long Tail,1000043072,UA SEEDS & COMPANY,(blank),Siliguri,West Bengal,"54,476",8722,,97.90%,42273,16%,C,,78%,0%,,29,99%,0,,0,Long Tail
Long Tail,1000040595,SARVADNYA AGRO AGENCIES,gaurav.joshi@agrevolution.in,Washim,Maharashtra,"65,581",8713,,97.90%,43856,13%,C,,67%,0%,,77,68%,Yes,,0,Long Tail
Long Tail,1000033744,D S A KHAD BEEJ BHANDAR,robin.kumar3@agrevolution.in,Hapur,Uttar Pradesh,"70,149",8707,,97.90%,70149,12%,C,,100%,0%,,-,0%,0,,0,Long Tail
Long Tail,1000020766,M/s Gyan Beej Bhandar,mohmmad.arman2@agrevolution.in,Ranchi,Jharkhand,237727,8704,,97.90%,11840,4%,D,,5%,-53%,,48,2%,0,,0,Long Tail
Long Tail,1000035436,SUBH ENTERPRISES,sanjay.sarang@agrevolution.in,Saran,Bihar,"66,930",8700,,97.90%,66930,13%,C,,100%,0%,,77,1%,0,,0,Long Tail
Long Tail,1000042858,SOHAM AGRO SERVICES,(blank),Jalna,Maharashtra,147410,8698,,97.90%,147410,6%,D,,100%,0%,,13,100%,0,,0,Long Tail
Long Tail,1000034018,MAA TAPTI KRISHI SEVA KENDRA,jitendra.kumar6@agrevolution.in,Chhindwara,Madhya Pradesh,"37,704",8698,,97.90%,25840,23%,B,,69%,-47%,,73,89%,0,,0,Long Tail
Long Tail,1000004492,M/s Om Enterprises,(blank),Samastipur,Bihar,100930,8690,,97.90%,42430,9%,D,,42%,0%,,101,65%,0,,0,Long Tail
Long Tail,1000002611,Tomar Khad Beej Bhandar,robin.kumar3@agrevolution.in,Hapur,Uttar Pradesh,"23,451",8689,,97.90%,23451,37%,A,,100%,0%,,-,0%,0,,0,Long Tail
Long Tail,1000017831,M/s NEW KUMAR BEEJ BHANDAR,(blank),Lakhisarai,Bihar,632905,8679,,97.90%,#N/A,1%,D,,0%,0%,,27,100%,0,,0,Long Tail
Long Tail,1000019597,M/s Agri Junction Kendra,mohd.aqeel@agrevolution.in,Amroha,Uttar Pradesh,"44,889",8673,,97.90%,44889,19%,C,,100%,-74%,,32,89%,0,,0,Long Tail
Long Tail,1000002793,M/s Shriram Krishi Sewa Kendra,(blank),Khandwa,Madhya Pradesh,744630,8673,,97.90%,6260,1%,D,,1%,0%,,91,38%,Yes,,0,Long Tail
Long Tail,1000029776,M/S SHUBHANSHU ENTERPRISES,akhilesh.maurya@agrevolution.in,Sonbhadra,Uttar Pradesh,"37,548",8670,,97.90%,33005,23%,B,,88%,0%,,24,78%,0,,0,Long Tail
Long Tail,1000041285,Abhinav agro Kishan sewa kendra goni,ashish.sharma1@agrevolution.in,Chhindwara,Madhya Pradesh,"71,226",8661,,97.90%,67088,12%,C,,94%,0%,,24,97%,0,,0,Long Tail
Long Tail,1000041485,RAJAWAT BEEJ BHANDAR,vipin.kumar2@agrevolution.in,Farrukhabad,Uttar Pradesh,152103,8656,,97.90%,6697,6%,D,,4%,0%,,15,86%,0,,0,Long Tail
Long Tail,1000041587,SHRI VEER TEJA KHAD BEEJ BHANDAR,govind.singh@agrevolution.in,Jodhpur,Rajasthan,"36,291",8641,,97.90%,36291,24%,B,,100%,0%,,78,54%,0,,0,Long Tail
Long Tail,1000040849,SRI GANESH BHUWAN STORES,satyam.kumar@agrevolution.in,Samastipur,Bihar,151565,8636,,97.90%,48624,6%,D,,32%,0%,,32,68%,0,,0,Long Tail
Long Tail,1000035201,BABA BEEJ COMPANY,balmukund.tiwari@agrevolution.in,Kushinagar,Uttar Pradesh,157402,8632,,97.90%,103739,5%,D,,66%,0%,,38,80%,0,,0,Long Tail
Long Tail,1000007641,M/S Sarangini Fertilizer,chinmaya.patra@agrevolution.in,Bhawanipatna,Orissa,253323,8627,,97.90%,9549,3%,D,,4%,-24%,,58,48%,0,,0,Long Tail
Long Tail,1000001309,Masauli Samriddhi Farmer Producer Company Limited,(blank),Barabanki,Uttar Pradesh,"44,600",8625,,97.90%,44600,19%,C,,100%,0%,,202,4%,0,,0,Long Tail
Long Tail,1000039883,KISAN SEVA KENDRA NEEMKA,gaurav.singh5@agrevolution.in,Aligarh,Uttar Pradesh,"19,488",8619,,97.90%,19488,44%,A,,100%,0%,,168,14%,0,,0,Long Tail
Long Tail,1000008928,Jaiswal Beej Bhandar,om.kushwaha@agrevolution.in,Allahabad,Uttar Pradesh,"68,598",8615,,97.90%,20922,13%,C,,30%,-35%,,81,0%,0,,0,Long Tail
Long Tail,1000038507,VERMA KRISHI KENDRA,anupam.kumar@agrevolution.in,Raipur,Chhattisgarh,"32,516",8611,,97.90%,32516,26%,B,,100%,0%,,67,65%,0,,0,Long Tail
Long Tail,1000039453,Pedkai Krushi Kendra,(blank),Jalgaon,Maharashtra,192601,8594,,97.90%,32532,4%,D,,17%,-21%,,82,58%,0,,0,Long Tail
Long Tail,1000032362,Rishika Krishi Seva Kendra,nilesh.nirgude@agrevolution.in,Khandwa,Madhya Pradesh,140778,8578,,97.90%,52500,6%,D,,37%,0%,,114,44%,Yes,,0,Long Tail
Long Tail,1000024976,Babblu Kirana Store,nikhilesh.kumar@agrevolution.in,Motihari,Bihar,"64,984",8577,,97.90%,64984,13%,C,,100%,0%,,13,100%,0,,0,Long Tail
Long Tail,1000039725,Sawan Agro,sahjad.a@agrevolution.in,Ambikapur,Chhattisgarh,"53,155",8569,,97.90%,34425,16%,C,,65%,0%,,127,5%,0,,0,Long Tail
Long Tail,1000040352,KISAN CENTER,lakhan.dhakad@agrevolution.in,Indore,Madhya Pradesh,"43,610",8566,,97.90%,26562,20%,C,,61%,0%,,5,100%,0,,0,Long Tail
Long Tail,1000040428,M/S I F F D C KRISHAK SEWA KENDRA,shashank.shekhar@agrevolution.in,Bhagalpur,Bihar,"52,440",8565,,97.90%,36090,16%,C,,69%,-17%,,15,96%,0,,0,Long Tail
Long Tail,1000008430,M/s.Yash Krushi Seva Kendra,gaurav.joshi@agrevolution.in,Washim,Maharashtra,"61,571",8565,,97.90%,43485,14%,C,,71%,0%,,47,57%,Yes,,0,Long Tail
Long Tail,1000000519,M/S Kotam Lamps,mohmmad.arman2@agrevolution.in,Ranchi,Jharkhand,122941,8565,,97.90%,122941,7%,D,,100%,-16%,,250,43%,0,,0,Long Tail
Long Tail,1000036012,M/s RIMJHIM BEEJ BHANDAR,ramesh.kumar@agrevolution.in,Bettiah,Bihar,"24,857",8563,,97.90%,24857,34%,A,,100%,0%,,-,0%,0,,0,Long Tail
Long Tail,1000001711,M/s CHETAN RAM OM PARKASH,prashant.singh3@agrevolution.in,Hisar,Haryana,"44,135",8561,,97.90%,44135,19%,C,,100%,0%,,2,67%,0,,0,Long Tail
Long Tail,1000042380,VAIBHAV TRADERS,(blank),Bhagalpur,Bihar,"63,209",8560,,97.90%,41585,14%,C,,66%,0%,,4,100%,0,,0,Long Tail
Long Tail,1000040490,BALAJI TRADERS,gaurav.kumar1@agrevolution.in,Kasganj,Uttar Pradesh,"20,211",8560,,97.90%,20211,42%,A,,100%,0%,,28,100%,0,,0,Long Tail
Long Tail,1000023370,Shitala traders,dinesh.chaudhary2@agrevolution.in,Gorakhpur,Uttar Pradesh,"54,179",8543,,97.90%,54179,16%,C,,100%,0%,,29,78%,0,,0,Long Tail
Long Tail,1000030233,BIND KRISHI FED PRODUCER COMPANY Limited,shubham@agrevolution.in,Bihar Sharif,Bihar,"76,595",8538,,97.90%,76595,11%,C,,100%,0%,,37,44%,0,,0,Long Tail
Long Tail,1000016241,M/s BAAPU AGRO TRADERS,pankaj.shukla@agrevolution.in,Kheri,Uttar Pradesh,134143,8532,,97.90%,50455,6%,D,,38%,0%,,51,60%,0,,0,Long Tail
Long Tail,1000009773,M/s Sinha Traders,brajb@agrevolution.in,Raipur,Chhattisgarh,"54,812",8532,,97.90%,54812,16%,C,,100%,0%,,56,48%,0,,0,Long Tail
Long Tail,1000002318,M/s Samiran Biswas,sanjay.mondal@agrevolution.in,Krishnanagar (HQ),West Bengal,"55,850",8528,,97.90%,44600,15%,C,,80%,0%,,19,85%,0,,0,Long Tail
Long Tail,1000006583,M/s.Ekvira Agro Agency,pradip.patil@agrevolution.in,Jalgaon,Maharashtra,178485,8526,,97.90%,49392,5%,D,,28%,-26%,,61,85%,Yes,,0,Long Tail
Long Tail,1000031337,SHIV BEEJ BHANDAR,sukhbir.singh@agrevolution.in,Hisar,Haryana,"22,068",8524,,97.90%,22068,39%,A,,100%,-49%,,296,0%,0,,0,Long Tail
Long Tail,1000003822,M/S AGRI JUNCTION KENDRA SINHACHAWARKALA,rohit.singh1@agrevolution.in,Ballia,Uttar Pradesh,"60,184",8520,,97.90%,49173,14%,C,,82%,0%,,206,0%,0,,0,Long Tail
Long Tail,1000009708,M/s Laxmipati Khad Beej Bhandar,(blank),Alwar,Rajasthan,"94,944",8519,,97.90%,53935,9%,D,,57%,-6%,,34,67%,0,,0,Long Tail
Long Tail,1000041553,BHARAT KHAD BHANDAR,(blank),Amroha,Uttar Pradesh,"20,427",8511,,97.90%,20427,42%,A,,100%,0%,,155,3%,0,,0,Long Tail
Long Tail,1000008131,Harsh Pashu Aahar,mithlesh.kr@agrevolution.in,Katihar,Bihar,"84,783",8511,,97.90%,84783,10%,C,,100%,0%,,128,0%,0,,0,Long Tail
Long Tail,1000040203,FARMERS AGRO AND BIO FERTILIZER CENTRE,rajeev.kumar2@agrevolution.in,Muzaffarpur,Bihar,"81,674",8500,,97.90%,21476,10%,C,,26%,0%,,-,91%,0,,0,Long Tail
Long Tail,1000008517,M/s Jaikishan Krishi Sewa Kendra,rahul.malviya@agrevolution.in,Shajapur,Madhya Pradesh,"73,323",8496,,97.90%,73323,12%,C,,100%,0%,,24,58%,0,,0,Long Tail
Long Tail,1000004592,M/s SINGH TRADERS,amit.kumar15@agrevolution.in,Siwan,Bihar,295925,8496,,97.90%,295925,3%,D,,100%,0%,,53,54%,0,,0,Long Tail
Long Tail,1000036457,BADNORJAYMAL JEVIK FARMER PRODUCER COMPANY LIMITED,(blank),Jaipur_Kota,Rajasthan,"75,438",8490,,97.90%,75438,11%,C,,100%,0%,,2,100%,0,,0,Long Tail
Long Tail,1000007846,M/s.Shri Adarsha Krishi Seva Kendra,rushikesh.gaikwad@agrevolution.in,Ahmednagar,Maharashtra,113856,8489,,97.90%,51206,7%,D,,45%,0%,,39,92%,Yes,,0,Long Tail
Long Tail,1000030396,ANKIT KHAD BEEJ BHANDAR,purshottam.raj@agrevolution.in,Madhepura,Bihar,"78,443",8478,,97.90%,77727,11%,C,,99%,0%,,242,0%,0,,0,Long Tail
Long Tail,1000033572,Sharma Agro Agency,praveen.bhardwaj@agrevolution.in,Aligarh,Uttar Pradesh,"90,536",8477,,97.90%,61536,9%,D,,68%,-159%,,283,0%,0,,0,Long Tail
Long Tail,1000009214,New Saini Beej Bhandar,(blank),Amroha,Uttar Pradesh,"51,827",8477,,97.90%,51827,16%,C,,100%,0%,,112,0%,0,,0,Long Tail
Long Tail,1000031952,GLOBAL NEXT PEST CONTROL LLP,mehul.pansuriya@agrevolution.in,Ahmedabad,Gujarat,4308638,8475,,97.90%,3553,0%,D,,0%,0%,,-,100%,0,,0,Long Tail
Long Tail,1000041833,Samrat krushi udyog,(blank),Pune,Maharashtra,"59,599",8474,,97.90%,54027,14%,C,,91%,0%,,52,13%,0,,0,Long Tail
Long Tail,1000035200,RUPAM TRADERS,amit.pathak@agrevolution.in,Lakhisarai,Bihar,102015,8468,,97.90%,100365,8%,D,,98%,0%,,147,0%,0,,0,Long Tail
Long Tail,1000009657,M/s Krishidhan Beej Bhandar,(blank),Faizabad,Uttar Pradesh,"83,286",8455,,98.00%,23930,10%,C,,29%,0%,,115,22%,0,,0,Long Tail
Long Tail,1000020648,ASHISH AGRO AGENCY,(blank),Chhindwara,Madhya Pradesh,"59,961",8454,,98.00%,36498,14%,C,,61%,-51%,,100,70%,Yes,,0,Long Tail
Long Tail,1000025995,MEHTA AGRO. CHEMICAL,rahul@agrevolution.in,Hisar,Haryana,221665,8453,,98.00%,30415,4%,D,,14%,0%,,99,100%,0,,0,Long Tail
Long Tail,1000041815,M/S ARYA KISAN SEWA KENDRA,manoj.vishwakarma@agrevolution.in,Bhopal,Madhya Pradesh,"58,860",8452,,98.00%,58860,14%,C,,100%,0%,,59,48%,0,,0,Long Tail
Long Tail,1000004996,M/s.Vitthal Krupa Krushi Seva Kendra,sunil.ingle@agrevolution.in,CHHATRAPATI SAMBHAJINAGAR,Maharashtra,543886,8450,,98.00%,#N/A,2%,D,,0%,0%,,286,95%,0,,0,Long Tail
Long Tail,1000000525,M/S Kushwaha Beej Bhandar,(blank),Arrah,Bihar,524843,8449,,98.00%,129300,2%,D,,25%,0%,,16,96%,0,,0,Long Tail
Long Tail,1000026053,JAY VISHWANATH KRUSHI SEWA KENDRA,ankush.gawai@agrevolution.in,Akola,Maharashtra,141083,8442,,98.00%,15731,6%,D,,11%,-17%,,112,47%,0,,0,Long Tail
Long Tail,1000042632,M/S ANKUR KRISHI KENDRA,amit.kumar15@agrevolution.in,Siwan,Bihar,"87,206",8434,,98.00%,34430,10%,D,,39%,0%,,25,94%,Yes,,0,Long Tail
Long Tail,1000004699,MS NAV FERTILIZER,mithlesh.kr@agrevolution.in,Katihar,Bihar,"25,161",8427,,98.00%,25161,33%,A,,100%,0%,,85,8%,0,,0,Long Tail
Long Tail,1000041277,Maa Bagulamukhi Agro clinic & Pesticide,(blank),Indore,Madhya Pradesh,"48,702",8424,,98.00%,28402,17%,C,,58%,0%,,13,70%,0,,0,Long Tail
Long Tail,1000041593,Shivani Agency,pushpendra.singh1@agrevolution.in,Bareilly,Uttar Pradesh,"45,874",8414,,98.00%,45874,18%,C,,100%,0%,,92,34%,0,,0,Long Tail
Long Tail,1000003084,SINGH ENTERPRISES,sandeep.kumar2@agrevolution.in,Hardoi,Uttar Pradesh,"79,039",8414,,98.00%,79039,11%,C,,100%,0%,,239,0%,0,,0,Long Tail
Long Tail,1000042203,SHIV SHAKTI TRADERS,purshottam.raj@agrevolution.in,Madhepura,Bihar,"55,283",8411,,98.00%,55283,15%,C,,100%,0%,,16,72%,0,,0,Long Tail
Long Tail,1000041311,M/S. KAMLESH TRADERS,dharam.singh2@agrevolution.in,Kasganj,Uttar Pradesh,"35,688",8411,,98.00%,35688,24%,B,,100%,0%,,78,62%,0,,0,Long Tail
Long Tail,1000019422,M/s Saibaba Krushi Kendra,(blank),Akola,Maharashtra,"73,199",8411,,98.00%,23579,11%,C,,32%,0%,,34,95%,0,,0,Long Tail
Long Tail,1000035170,Minakshi Medical Hall,vatsya.krishnav@agrevolution.in,Muzaffarpur,Bihar,"24,292",8409,,98.00%,24292,35%,A,,100%,0%,,75,89%,0,,0,Long Tail
Long Tail,1000044547,One Stop Shop Agri Junction,vivekk.yadav@agrevolution.in,Varanasi,Uttar Pradesh,"42,683",8399,,98.00%,36520,20%,C,,86%,0%,,-,0%,0,,0,Long Tail
Long Tail,1000022526,MAHAVIR PARSAD GYANENDER PARSAD,(blank),Hisar,Haryana,"27,662",8399,,98.00%,27662,30%,A,,100%,-68%,,199,4%,0,,0,Long Tail
Long Tail,1000005679,M/s Darsh Agri Junction Centre,pradeep.kumar3@agrevolution.in,Bareilly,Uttar Pradesh,111693,8398,,98.00%,22120,8%,D,,20%,0%,,235,2%,0,,0,Long Tail
Long Tail,1000003288,M/s New Chaudhary Khad Beej Bhandar,prashant.singh3@agrevolution.in,Hisar,Haryana,"72,795",8395,,98.00%,27202,12%,C,,37%,-47%,,124,36%,0,,0,Long Tail
Long Tail,1000041196,RAJLAXMI AGRO SALES,(blank),Jaipur,Rajasthan,"39,328",8394,,98.00%,39328,21%,B,,100%,0%,,52,80%,0,,0,Long Tail
Long Tail,1000005783,M/S Vaishno Traders,anurag.gautam@agrevolution.in,Muzaffarpur,Bihar,"89,527",8394,,98.00%,15127,9%,D,,17%,-5%,,-,97%,Yes,,0,Long Tail
Long Tail,1000001732,Yadav Khad Bhandar,(blank),Bettiah,Bihar,"77,316",8391,,98.00%,16571,11%,C,,21%,0%,,15,62%,0,,0,Long Tail
Long Tail,1000034638,HARIYALI KRUSHI SEVA KENDRA,rishikesh.jamodkar@agrevolution.in,Khandwa,Madhya Pradesh,200702,8388,,98.00%,35561,4%,D,,18%,-46%,,118,82%,0,,0,Long Tail
Long Tail,1000026427,MAHAKAL KRISHI SEVA KENDRA,(blank),Ujjain,Madhya Pradesh,"23,273",8385,,98.00%,23273,36%,A,,100%,0%,,6,50%,0,,0,Long Tail
Long Tail,1000008174,M/S Ayush Traders,rohit.singh1@agrevolution.in,Ballia,Uttar Pradesh,"27,566",8377,,98.00%,24865,30%,A,,90%,0%,,34,12%,0,,0,Long Tail
Long Tail,1000019658,M/s Shri Mahakal Kisan Seva Kendra,ashish.sharma1@agrevolution.in,Chhindwara,Madhya Pradesh,"72,426",8364,,98.00%,60030,12%,C,,83%,-22%,,148,40%,0,,0,Long Tail
Long Tail,1000018674,SHAH AGRO AGENCY,gaurav.mahajan@agrevolution.in,Jalgaon,Maharashtra,"34,860",8362,,98.00%,34860,24%,B,,100%,-122%,,40,94%,0,,0,Long Tail
Long Tail,1000001686,Goswami Khad Bhandar,(blank),Motihari,Bihar,"40,556",8360,,98.00%,34318,21%,B,,85%,0%,,124,1%,0,,0,Long Tail
Long Tail,1000033208,BALAJI BABOSA ENTERPRISE,(blank),Siliguri,West Bengal,126901,8356,,98.00%,84740,7%,D,,67%,0%,,57,47%,0,,0,Long Tail
Long Tail,1000010057,M/s.Sai Krushi Seva Kendra,vaibhav.bhosale@agrevolution.in,CHHATRAPATI SAMBHAJINAGAR,Maharashtra,"59,583",8356,,98.00%,42032,14%,C,,71%,0%,,-,0%,0,,0,Long Tail
Long Tail,1000042223,Matoshri Krushi Seva Kendra,gaurav.joshi@agrevolution.in,Washim,Maharashtra,103241,8355,,98.00%,37641,8%,D,,36%,-50%,,90,0%,Yes,,0,Long Tail
Long Tail,1000037928,Verma Seed Store,brijeshk.patel@agrevolution.in,Varanasi,Uttar Pradesh,115901,8355,,98.00%,65163,7%,D,,56%,0%,,11,90%,0,,0,Long Tail
Long Tail,1000002322,N G O Farmer Center,anurag.gautam@agrevolution.in,Muzaffarpur,Bihar,"95,567",8348,,98.00%,59682,9%,D,,62%,0%,,6,100%,0,,0,Long Tail
Long Tail,1000032759,SHREE SITA RAM TRADERS,chandras.mishra@agrevolution.in,Darbhanga,Bihar,"84,602",8339,,98.00%,84602,10%,D,,100%,0%,,38,31%,0,,0,Long Tail
Long Tail,1000032005,SHYAM TRADING COMPANY,(blank),Hisar,Haryana,295725,8335,,98.00%,31605,3%,D,,11%,0%,,93,5%,0,,0,Long Tail
Long Tail,1000025342,M/s KRISHI KENDRA,rohit.singh5@agrevolution.in,Ranchi,Jharkhand,433333,8333,,98.00%,#N/A,2%,D,,0%,0%,,104,0%,0,,0,Long Tail
Long Tail,1000031467,SHREE SINGHAL ENTERPRISES,mohd.aqeel@agrevolution.in,Amroha,Uttar Pradesh,"57,512",8325,,98.00%,57512,14%,C,,100%,0%,,-,0%,0,,0,Long Tail
Long Tail,1000020673,PURNA CHANDRA PATRO,bignya.dash@agrevolution.in,Nabarangpur,Orissa,"33,383",8319,,98.00%,33383,25%,B,,100%,0%,,68,86%,0,,0,Long Tail
Long Tail,1000032588,MALU AGRO SALES,gaurav.mahajan@agrevolution.in,Jalgaon,Maharashtra,"60,398",8318,,98.00%,36216,14%,C,,60%,-61%,,43,96%,0,,0,Long Tail
Long Tail,1000036381,KRUSHIVAL AGRO AGENCIES,akshayv.chavan@agrevolution.in,Akola,Maharashtra,"46,350",8313,,98.00%,32400,18%,C,,70%,-70%,,126,33%,0,,0,Long Tail
Long Tail,1000002366,M/s Hariom Enterprises,dk.s@agrevolution.in,Sitamarhi,Bihar,"78,900",8312,,98.00%,78900,11%,C,,100%,0%,,62,20%,0,,0,Long Tail
Long Tail,1000041968,M/S MD MUSTOFA,(blank),Malda,West Bengal,"82,153",8309,,98.00%,81052,10%,C,,99%,0%,,3,100%,0,,0,Long Tail
Long Tail,1000023848,M/S MAA BAGLAMUKHI KRISHI SEWA KENDRA,rahul.malviya@agrevolution.in,Shajapur,Madhya Pradesh,106364,8309,,98.00%,99479,8%,D,,94%,0%,,2,100%,0,,0,Long Tail
Long Tail,1000004451,M/s Paridhi Fertilzer,akhilesh.maurya@agrevolution.in,Sonbhadra,Uttar Pradesh,119310,8292,,98.00%,27931,7%,D,,23%,-9%,,57,26%,0,,0,Long Tail
Long Tail,1000007644,M/S Avtaar Beej Bhandar Avam Pesticide Store,(blank),Amroha,Uttar Pradesh,"41,830",8284,,98.00%,41830,20%,C,,100%,0%,,125,12%,0,,0,Long Tail
Long Tail,1000001642,AMBIKA KRISHI KENDRA,satyam.kumar@agrevolution.in,Samastipur,Bihar,231454,8282,,98.00%,165744,4%,D,,72%,0%,,19,93%,0,,0,Long Tail
Long Tail,1000043493,BABITA KRISHI KENDRA,piyush.tiwari@agrevolution.in,Jabalpur,Madhya Pradesh,"79,765",8276,,98.00%,42127,10%,C,,53%,0%,,20,63%,Yes,,0,Long Tail
Long Tail,1000038684,BALAJI AGRO AGENCY,mahendra.saini@agrevolution.in,Jaipur,Rajasthan,"53,656",8274,,98.00%,38125,15%,C,,71%,0%,,24,94%,0,,0,Long Tail
Long Tail,1000006866,NISHANT PESTICIDES KHAD BHANDAR,(blank),Amroha,Uttar Pradesh,"34,683",8267,,98.00%,34683,24%,B,,100%,0%,,-,0%,0,,0,Long Tail
Long Tail,1000005281,Anuj Chouhan Dairy,dharam.singh2@agrevolution.in,Kasganj,Uttar Pradesh,"43,073",8253,,98.00%,43073,19%,C,,100%,0%,,194,0%,0,,0,Long Tail
Long Tail,1000010095,Nandanwan Agro Agencies,(blank),Akola,Maharashtra,274045,8251,,98.00%,#N/A,3%,D,,0%,0%,,-,100%,0,,0,Long Tail
Long Tail,1000042496,BANESHWAR KRUSHI SEVA KENDRA,akash.pachorkar@agrevolution.in,Nashik,Maharashtra,"30,000",8245,,98.00%,30000,27%,B,,100%,0%,,64,42%,0,,0,Long Tail
Long Tail,1000016465,M/S Nain Trading Company,sukhbir.singh@agrevolution.in,Hisar,Haryana,349165,8245,,98.00%,51057,2%,D,,15%,-17%,,55,23%,0,,0,Long Tail
Long Tail,1000002753,M/s Maa Krushak Kendra,bignya.dash@agrevolution.in,Nabarangpur,Orissa,118369,8239,,98.00%,118369,7%,D,,100%,0%,,134,14%,0,,0,Long Tail
Long Tail,1000009713,M/s Kanha Khad Beej Bhandar,amit.tripathi@agrevolution.in,Kushinagar,Uttar Pradesh,"40,083",8237,,98.00%,30190,21%,B,,75%,0%,,72,36%,0,,0,Long Tail
Long Tail,1000044236,MAHABIR TRADING COMPANY,(blank),Hisar,Haryana,283815,8220,,98.00%,#N/A,3%,D,,0%,0%,,1,94%,0,,0,Long Tail
Long Tail,1000032662,GURU NANAK TRADERS HINDALWALA,(blank),Hisar,Haryana,"54,515",8219,,98.00%,25200,15%,C,,46%,0%,,19,91%,0,,0,Long Tail
Long Tail,1000007294,M/s Anika Khad Beej Bhandar,bipul.kumar4@agrevolution.in,Begusarai,Bihar,263735,8216,,98.00%,97557,3%,D,,37%,-4%,,23,92%,0,,0,Long Tail
Long Tail,1000039118,Verma Krishi Seva Kendra,tejpratap.kushwaha@agrevolution.in,Barabanki,Uttar Pradesh,296601,8215,,98.00%,17752,3%,D,,6%,0%,,12,100%,0,,0,Long Tail
Long Tail,1000034776,M/S KRISHI SEWA KENDRA,sanjay.upadhyay1@agrevolution.in,Gorakhpur,Uttar Pradesh,"52,621",8206,,98.00%,28969,16%,C,,55%,0%,,77,52%,0,,0,Long Tail
Long Tail,1000003881,M/s Shyam Trading Company,(blank),Ghazipur,Uttar Pradesh,"47,072",8202,,98.00%,47072,17%,C,,100%,-29%,,132,0%,0,,0,Long Tail
Long Tail,1000027107,SHREE VISHNU SARAMJIVI PRODUCER COMPANY LIMITED,ravi.roy@agrevolution.in,Bihar Sharif,Bihar,"39,800",8201,,98.00%,39800,21%,B,,100%,-34%,,37,96%,0,,0,Long Tail
Long Tail,1000006653,M/S RIDHI SIDHI TRADERS,(blank),Motihari,Bihar,143591,8196,,98.00%,82234,6%,D,,57%,0%,,24,96%,Yes,,0,Long Tail
Long Tail,1000000909,M/S Gayatri Beej Bhandar,sushil.ojha@agrevolution.in,Ballia,Uttar Pradesh,339171,8194,,98.10%,#N/A,2%,D,,0%,0%,,1,97%,0,,0,Long Tail
Long Tail,1000033570,DIXIT KHAD BEEJ BHANDAR,(blank),Aligarh,Uttar Pradesh,"65,679",8190,,98.10%,40840,12%,C,,62%,0%,,153,0%,0,,0,Long Tail
Long Tail,1000001916,M/S VERMA KHAD BHANDAR,tejpratap.kushwaha@agrevolution.in,Barabanki,Uttar Pradesh,"53,662",8186,,98.10%,53662,15%,C,,100%,0%,,15,73%,0,,0,Long Tail
Long Tail,1000041704,Yatharth Traders Krishi Seva kendra,ashish.patidar1@agrevolution.in,Indore,Madhya Pradesh,"38,315",8180,,98.10%,38315,21%,B,,100%,0%,,28,60%,0,,0,Long Tail
Long Tail,1000034315,ADISHAKTI KRUSHI KENDRA,akshayv.chavan@agrevolution.in,Akola,Maharashtra,"85,736",8175,,98.10%,25519,10%,D,,30%,-26%,,203,1%,0,,0,Long Tail
Long Tail,1000000263,PRATYUSH AGRO SALES,chinmaya.patra@agrevolution.in,Bhawanipatna,Orissa,"84,629",8174,,98.10%,25428,10%,D,,30%,-22%,,171,17%,0,,0,Long Tail
Long Tail,1000002973,M/S Mahamayee Fertilizer,(blank),Nabarangpur,Orissa,"77,306",8172,,98.10%,43930,11%,C,,57%,-43%,,49,77%,0,,0,Long Tail
Long Tail,1000003912,Navkar Agro Agency,(blank),Ujjain,Madhya Pradesh,126667,8171,,98.10%,126667,6%,D,,100%,0%,,189,27%,Yes,,0,Long Tail
Long Tail,1000041703,MAA NIRMI ENTERPRISES,chirnjeev.kumar@agrevolution.in,Saharsa,Bihar,"22,405",8153,,98.10%,22405,36%,A,,100%,0%,,-,0%,0,,0,Long Tail
Long Tail,1000029441,BALIYA MAIZE AND BANANA FARMER PRODUCER COMPANY LIMITED,sushil.ojha@agrevolution.in,Ballia,Uttar Pradesh,"78,427",8151,,98.10%,78427,10%,C,,100%,0%,,9,100%,0,,0,Long Tail
Long Tail,1000007270,M/S Ganpati Laxmi Traders,satyam.kumar@agrevolution.in,Samastipur,Bihar,102161,8141,,98.10%,35763,8%,D,,35%,-14%,,41,61%,0,,0,Long Tail
